decision_id,group,audit_b_rank,predicted_delta_grp,predicted_delta_grp_se,mean_delta_full,se_delta_full,ci95_lo,ci95_hi,resolution,keep_resolution
2025-2025040820gm-00a9-0000-57062ba3-08-s0-d7,keep_control,3,-0.13066860315019485,0.08975720913133085,0.046875,0.1464153738629635,-0.24009913277140843,0.33384913277140843,UNRESOLVED,KEEP_UNRESOLVED
2025-2025040821gm-00a9-0000-b7ac449d-02-s0-d0,keep_control,2,-0.3941551595926285,0.2886168584857435,0.5703125,0.4639044384875045,-0.3389401994355088,1.4795651994355088,UNRESOLVED,KEEP_UNRESOLVED
2025-2025040821gm-00a9-0000-b7ac449d-06-s3-d8,keep_control,2,-0.25769702131742633,0.23066251503327623,-0.1796875,0.28535899235698725,-0.738991125019695,0.379616125019695,UNRESOLVED,KEEP_UNRESOLVED
2025-2025041017gm-00a9-0000-5584369a-05-s1-d9,keep_control,3,-0.16322797059183358,0.16848398661311548,-0.1875,0.34794124898479345,-0.8694648480101952,0.4944648480101952,UNRESOLVED,KEEP_UNRESOLVED
2025-2025041216gm-00a9-0000-3d010e8a-05-s0-d2,keep_control,4,-0.26296635906510346,0.26218952972769805,-0.203125,0.41578529637761785,-1.018064180900131,0.611814180900131,UNRESOLVED,KEEP_UNRESOLVED
2025-2025041216gm-00a9-0000-3d010e8a-10-s0-d10,keep_control,2,-0.06863250791384701,0.21157886156569217,0.4765625,0.22612258677404887,0.03336222992286425,0.9197627700771358,SUPPORTED,KEEP_REJECTED
2025-2025041221gm-00a9-0000-d8d9d627-08-s2-d2,keep_control,2,-0.1660482344045704,0.26204875559203633,-0.5078125,0.32449962364305646,-1.1438317623403906,0.12820676234039063,UNRESOLVED,KEEP_UNRESOLVED
2025-2025041311gm-00a9-0000-5f819544-02-s3-d14,keep_control,2,-0.12911158986389637,0.1433086095711239,0.1015625,0.40510981352479375,-0.6924527345085957,0.8955777345085957,UNRESOLVED,KEEP_UNRESOLVED
2025-2025041314gm-00a9-0000-447ba93f-06-s3-d5,keep_control,2,-0.2839387019193964,0.33474185565418146,0.4921875,0.4254104198915777,-0.34161692298749224,1.3259919229874924,UNRESOLVED,KEEP_UNRESOLVED
2025-2025041520gm-00a9-0000-d292f784-08-s1-d0,keep_control,2,-0.23668068629189776,0.6104204671980241,-0.1328125,0.34173281525044547,-0.8026088178908731,0.5369838178908731,UNRESOLVED,KEEP_UNRESOLVED
2025-2025041622gm-00a9-0000-82e8b63b-04-s1-d13,keep_control,2,-1.1898484658061836,0.5467895798001874,-1.515625,0.5865623710525624,-2.6652872472630222,-0.36596275273697776,REJECTED,KEEP_SUPPORTED
2025-2025122620gm-00a9-0000-0e700f01-03-s2-d11,keep_control,4,-0.45114021815970773,0.25100058884634624,-0.6875,0.47754414127151124,-1.6234865168921622,0.24848651689216206,UNRESOLVED,KEEP_UNRESOLVED
