decision_id,world_idx,r_a,r_b,delta_full
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,91,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,92,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,93,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,94,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,95,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,96,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,97,-10.0,10.0,20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,98,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,99,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,100,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,101,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,102,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,103,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,104,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,105,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,106,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,107,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,108,-4.0,4.0,8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,109,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,110,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,111,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,112,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,113,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,114,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,115,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,116,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,117,10.0,-4.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,118,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,119,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,120,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,121,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,122,10.0,4.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,123,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,124,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,125,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,126,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,127,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,128,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,129,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,130,-4.0,10.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,131,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,132,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,133,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,134,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,135,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,136,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,137,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,138,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,139,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,140,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,141,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,142,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,143,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,144,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,145,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,146,-10.0,10.0,20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,147,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,148,-4.0,10.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,149,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,150,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,151,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,152,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,153,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,154,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,155,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,156,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,157,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,158,-10.0,4.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,159,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,160,-4.0,10.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,161,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,162,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,163,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,164,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,165,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,166,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,167,-4.0,4.0,8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,168,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,169,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,170,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,171,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,172,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,173,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,174,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,175,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,176,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,177,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,178,10.0,10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,179,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,180,4.0,10.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,181,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,182,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,183,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,184,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,185,-10.0,10.0,20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,186,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,187,10.0,4.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,188,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,189,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,190,-10.0,10.0,20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,191,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,192,10.0,-4.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,193,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,194,-10.0,4.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,195,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,196,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,197,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,198,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,199,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,200,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,201,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,202,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,203,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,204,-10.0,10.0,20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,205,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,206,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,207,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,208,-4.0,10.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,209,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,210,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,211,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,212,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,213,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,214,-4.0,4.0,8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,215,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,216,10.0,10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,217,-4.0,10.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,218,-4.0,4.0,8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,219,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,220,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,221,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,222,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,223,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,224,10.0,4.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,225,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,226,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,227,-10.0,10.0,20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,228,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,229,10.0,4.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,230,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,231,-10.0,4.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,232,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,233,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,234,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,235,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,236,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,237,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,238,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,239,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,240,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,241,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,242,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,243,-10.0,4.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,244,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,245,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,246,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,247,-4.0,4.0,8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,248,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,249,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,250,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,251,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,252,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,253,10.0,4.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,254,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,255,-10.0,-4.0,6.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,0,4.0,-4.0,-8.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,1,4.0,-10.0,-14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,2,4.0,4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,3,-10.0,4.0,14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,4,-4.0,4.0,8.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,5,4.0,4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,6,4.0,-10.0,-14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,7,-10.0,-10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,8,10.0,-4.0,-14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,9,10.0,10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,10,4.0,-10.0,-14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,11,4.0,-10.0,-14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,12,-10.0,-10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,13,4.0,-4.0,-8.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,14,-10.0,-10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,15,-10.0,4.0,14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,16,-10.0,-10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,17,4.0,4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,18,-4.0,-10.0,-6.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,19,-10.0,-10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,20,-10.0,4.0,14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,21,-10.0,-4.0,6.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,22,4.0,-10.0,-14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,23,4.0,-10.0,-14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,24,-4.0,-4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,25,4.0,4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,26,4.0,4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,27,-10.0,4.0,14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,28,-4.0,-4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,29,-10.0,-4.0,6.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,30,-10.0,-10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,31,-4.0,4.0,8.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,32,-10.0,4.0,14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,33,-4.0,-4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,34,-4.0,4.0,8.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,35,-10.0,-4.0,6.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,36,-10.0,-10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,37,-4.0,-10.0,-6.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,38,-10.0,-10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,39,-4.0,4.0,8.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,40,-4.0,-10.0,-6.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,41,4.0,-4.0,-8.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,42,-4.0,-4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,43,-10.0,-10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,44,-10.0,4.0,14.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,45,-4.0,4.0,8.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,46,-10.0,-10.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,47,-10.0,-4.0,6.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,48,-4.0,-4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,49,-4.0,-4.0,0.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,50,-4.0,4.0,8.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,51,-10.0,-4.0,6.0
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,52,-4.0,-10.0,-6.0
